裝備名稱,裝備部位,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明,(英文)裝備名稱
1周年寶劍,單手劍,29,80,stats,str,1%,,,1st Anniv Sword
,,,,,atk,1%,,,
,,,,,magic_resistance,6,,,
,,,,,attack_mp_recovery,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,cost,10,,,
,,,,,materials,1周年銅牌#20,,,
1周年寶劍 II,單手劍,55,80,stats,str,2%,,,1st Anniv Sword II
,,,,,atk,2%,,,
,,,,,magic_resistance,9,,,
,,,,,attack_mp_recovery,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,100,,,
,,,,,materials,1周年銀牌#20,,,
1周年寶劍 III,單手劍,87,80,stats,str,3%,,,1st Anniv Sword III
,,,,,atk,3%,,,
,,,,,magic_resistance,12,,,
,,,,,attack_mp_recovery,6,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,70,,,
,,,,,potential,27,,,
,,,,,cost,1000,,,
,,,,,materials,1周年金牌#20,,,
2周年寶劍,單手劍,29,80,stats,str,1%,,,2nd Anniv Sword
,,,,,atk,1%,,,
,,,,,magic_resistance,6,,,
,,,,,attack_mp_recovery,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,cost,10,,,
,,,,,materials,2周年銅牌#20,,,
2周年寶劍 II,單手劍,55,80,stats,str,2%,,,2nd Anniv Sword II
,,,,,atk,2%,,,
,,,,,magic_resistance,9,,,
,,,,,attack_mp_recovery,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,100,,,
,,,,,materials,2周年銀牌#20,,,
2周年寶劍 III,單手劍,87,80,stats,str,3%,,,2nd Anniv Sword III
,,,,,atk,3%,,,
,,,,,magic_resistance,12,,,
,,,,,attack_mp_recovery,6,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,75,,,
,,,,,potential,27,,,
,,,,,cost,1000,,,
,,,,,materials,2周年金牌#20,,,
2周年寶劍 IV,單手劍,117,80,stats,str,4%,,,2nd Anniv Sword IV
,,,,,atk,4%,,,
,,,,,magic_resistance,15,,,
,,,,,attack_mp_recovery,8,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,100,,,
,,,,,potential,30,,,
,,,,,cost,2000,,,
,,,,,materials,"2周年銀牌．波姆#20,金屬#100",,,
2周年寶劍 V,單手劍,142,80,stats,str,5%,,,2nd Anniv Sword V
,,,,,atk,5%,,,
,,,,,magic_resistance,18,,,
,,,,,attack_mp_recovery,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,100,,,
,,,,,item_difficulty,125,,,
,,,,,potential,32,,,
,,,,,cost,4000,,,
,,,,,materials,"2周年金牌．波姆#20,金屬#200",,,
3周年寶劍,單手劍,29,80,stats,str,1%,,,3rd Anniv Sword
,,,,,atk,1%,,,
,,,,,magic_resistance,6,,,
,,,,,attack_mp_recovery,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,cost,10,,,
,,,,,materials,3周年銅牌#20,,,
3周年寶劍 II,單手劍,55,80,stats,str,2%,,,3rd Anniv Sword II
,,,,,atk,2%,,,
,,,,,magic_resistance,9,,,
,,,,,attack_mp_recovery,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,100,,,
,,,,,materials,3周年銀牌#20,,,
3周年寶劍 III,單手劍,87,80,stats,str,3%,,,3rd Anniv Sword III
,,,,,atk,3%,,,
,,,,,magic_resistance,12,,,
,,,,,attack_mp_recovery,6,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,75,,,
,,,,,potential,27,,,
,,,,,cost,1000,,,
,,,,,materials,3周年金牌#20,,,
3周年寶劍 IV,單手劍,117,80,stats,str,4%,,,3rd Anniv Sword IV
,,,,,atk,4%,,,
,,,,,magic_resistance,15,,,
,,,,,attack_mp_recovery,8,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,100,,,
,,,,,potential,30,,,
,,,,,cost,2000,,,
,,,,,materials,"3周年獎牌．波姆#20,金屬#100",,,
3周年寶劍 V,單手劍,142,80,stats,str,5%,,,3rd Anniv Sword V
,,,,,atk,5%,,,
,,,,,magic_resistance,18,,,
,,,,,attack_mp_recovery,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,3000,,,
,,,,,materials,"3周年銅牌．波姆#20,金屬#150",,,
,,,,,item_level,95,,,
,,,,,item_difficulty,125,,,
,,,,,potential,32,,,
3周年寶劍 VI,單手劍,179,80,stats,str,6%,,,3rd Anniv Sword VI
,,,,,max_hp,4%,,,
,,,,,atk,6%,,,
,,,,,magic_resistance,21,,,
,,,,,attack_mp_recovery,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,4000,,,
,,,,,materials,"3周年銀牌．波姆#20,金屬#200",,,
,,,,,item_level,110,,,
,,,,,item_difficulty,140,,,
,,,,,potential,36,,,
3周年寶劍 VII,單手劍,209,80,stats,str,6%,,,3rd Anniv Sword VII
,,,,,max_hp,8%,,,
,,,,,atk,6%,,,
,,,,,magic_resistance,24,,,
,,,,,attack_mp_recovery,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,5000,,,
,,,,,materials,"3周年金牌．波姆#20,金屬#250",,,
,,,,,item_level,130,,,
,,,,,item_difficulty,155,,,
,,,,,potential,38,,,
曲折劍,單手劍,1,40,stats,aggro,30,,,Accordion-fold Sword
,,,,,attack_mp_recovery,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,150,,,
,,,,,materials,"蝙蝠翅膀#25,四葉苜蓿草#1,布料#50,金屬#25",,,
艾狄劍,單手劍,40,80,stats,max_hp,100,,,Adel Sword
,,,,,atk,1%,,,
,,,,,short_range_damage,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,岩石工兵,,,
,,,,,map,盧泰斯巨穴．地面,,,
艾狄劍,單手劍,40,80,stats,max_hp,200,,,Adel Sword
,,,,,atk,1%,,,
,,,,,short_range_damage,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,200,,,
,,,,,materials,"哥布林鉤爪#25,波多姆的鰭#15,金屬#75,木材#25",,,
,,,,,item_level,35,,,
,,,,,item_difficulty,40,,,
,,,,,potential,21,,,
虛狂黑劍,單手劍,94,80,stats,max_mp,100,,,Black Sword of Delusion
,,,,,atk,3%,,,
,,,,,cspd,250,,,
,,,,,stronger_against_neutral,25,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,80,,,
,,,,,potential,28,,,
,,,,,cost,800,,,
,,,,,materials,"災禍結晶#1,虛假的邪氣#2,金屬#500,獸品#250",,,
虛狂黑劍,單手劍,94,80,stats,max_mp,300,,,Black Sword of Delusion
,,,,,atk,3%,,,
,,,,,cspd,500,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,boss,,,
,,,,,name,虛假黑騎士,,,
,,,,,map,彼岸黃泉．最深處,,,
閃雷,單手劍,80,80,stats,element_wind,1,,,Blitz Sword
,,,,,attack_mp_recovery,3,,,
,,,,,short_range_damage,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,65,,,
,,,,,item_difficulty,70,,,
,,,,,potential,26,,,
,,,,,cost,350,,,
,,,,,materials,"大螺絲釘#30,惡靈之爪#20,金屬#125,獸品#50",,,
閃雷,單手劍,80,80,stats,element_wind,1,,,Blitz Sword
,,,,,attack_mp_recovery,3,,,
,,,,,short_range_damage,2,,,
,,,,obtain,type,mobs,,,
,,,,,name,死神,,,
,,,,,map,月之恩澤山．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,死神,,,
,,,,,map,月之恩澤山．第3區,,,
蠻龍之劍,單手劍,27,80,stats,aspd,250,,,Brutal Dragon Sword
,,,,,cspd,750,,,
,,,,obtain,type,boss,,,
,,,,,name,迪賽爾蠻龍,,,
,,,,,map,第1次馬奇史東之路．第?戰,,,
蠻龍之劍,單手劍,27,80,stats,aspd,500,,,Brutal Dragon Sword
,,,,,cspd,500,,,
,,,,obtain,type,boss,,,
,,,,,name,迪賽爾蠻龍,,,
,,,,,map,尼塞爾山．山頂,,,
蠻龍之劍,單手劍,27,80,stats,aspd,500,,,Brutal Dragon Sword
,,,,,cspd,150,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,175,,,
,,,,,materials,"蠻龍尾巴#1,蠻龍之爪#4,金屬#100,獸品#75",,,
,,,,,item_level,30,,,
,,,,,item_difficulty,35,,,
,,,,,potential,20,,,
切肉刀,單手劍,100,80,stats,physical_pierce,10,,,Butcher's Knife
,,,,,critical_damage,5%,,,
,,,,,attack_mp_recovery,20,,,
,,,,,anticipate,15,,,
,,,,obtain,type,smith,,,
